Escuela_ID;matricula_por_escuela
12;155
58;110
136;91
147;196
162;88
210;125
218;88
242;251
286;58
288;31
324;48
347;235
363;134
402;242
409;77
413;175
420;92
458;89
529;134
991;164
1014;147
1026;122
1049;117
1054;130
1060;50
1067;201
1080;167
1084;110
1090;60
1128;100
1132;132
1155;64
1158;80
1162;108
1181;60
1191;97
1446;224
1452;85
1835;77
1836;128
1843;236
1844;111
1845;192
1854;56
1872;110
1877;47
1881;127
1883;65
1884;263
1886;117
1908;104
1914;53
1921;83
1922;94
1969;64
1978;28
1981;103
1988;37
2009;30
2027;156
2035;61
2043;30
2053;74
2059;37
2062;63
2342;175
2349;241
2365;132
2572;108
2671;68
